target,modality,RT
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\house-68\meeting+room_06_04_askl.jpg,high,-1
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\house-68\house_08_03_askl.jpg,medium-low,3.9555810999590904
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\house-68\house_06_09_google.jpg,low,5.984485299966764
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\bridge-68\b_792098.jpg,medium-low,-1
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\bridge-68\c_791015.jpg,medium,-1
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\bridge-68\t_792098.jpg,high,0.990507299953606
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\bridge-68\b_791052.jpg,low,0.627852899953723
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\house-68\house_03_01_google.jpg,control,0.6405073000350967
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\house-68\house_13_02_askl.jpg,medium,1.3021341999992728
C:\Users\rafae\OneDrive\Documents\univ\M1\Semestre8\LabProject\Experiment\res\stimuli\grayscale\68-scenes\bridge-68\beach_07_06_flickr.jpg,control,0.969500400009565
